dish_name;dish_description;dish_price
Khachapuri;Cheese-filled bread topped with an egg and butter;10.99 
Khinkali;Juicy dumplings filled with spiced meat or vegetables;8.99 
Satsivi;Chicken or turkey in a walnut sauce, served with bread or rice;12.99 
Adjaruli Khachapuri;Boat-shaped bread filled with cheese, butter, and egg;14.99 
Mtsvadi;Grilled skewers of marinated meat (pork, beef, or chicken);11.99 
Lobio;Spicy bean stew with herbs and spices;9.99 
Chakapuli;Lamb stew with tarragon, onions, and white wine;15.99 
Badrijani Nigvzit;Eggplant rolls filled with walnut paste and pomegranate seeds;10.99 
Pkhali;Vegetable or meat patties with walnut and garlic sauce;8.99 
Churchkhela;Walnut and grape juice candy on a string;5.99
